year,month,day,max,min
2015,11,01,16,3
2015,11,02,13,3
2015,11,03,13,4
2015,11,04,13,3
2015,11,05,15,7
2015,11,06,15,7
2015,11,07,15,10
2015,11,08,18,9
2015,11,09,18,11
2015,11,10,18,12
2015,11,11,19,12
2015,11,12,18,10
2015,11,13,14,8
2015,11,14,12,6
2015,11,15,10,4
2015,11,16,16,10
2015,11,17,17,5
2015,11,18,19,9
2015,11,19,17,9
2015,11,20,15,12
2015,11,21,9,3
2015,11,22,6,1
2015,11,23,6,1
2015,11,24,6,0
2015,11,25,5,0
2015,11,26,5,-5
2015,11,27,5,1
2015,11,28,3,1
2015,11,29,5,2
2015,11,30,10,3
2015,09,01,36,21
2015,09,02,32,18
2015,09,03,32,19
2015,09,04,28,18
2015,09,05,20,12
2015,09,06,21,11
2015,09,07,19,10
2015,09,08,21,11
2015,09,09,22,12
2015,09,10,22,13
2015,09,11,17,11
2015,09,12,26,15
2015,09,13,26,15
2015,09,14,30,18
2015,09,15,31,20
2015,09,16,32,23
2015,09,17,34,19
2015,09,18,34,19
2015,09,19,29,17
2015,09,20,23,12
2015,09,21,22,13
2015,09,22,24,15
2015,09,23,28,14
2015,09,24,28,16
2015,09,25,20,15
2015,09,26,17,12
2015,09,27,20,10
2015,09,28,18,12
2015,09,29,18,9
2015,09,30,17,8
2014,12,01,2,0
2014,12,02,2,1
2014,12,03,6,2
2014,12,04,7,1
2014,12,05,7,4
2014,12,06,8,4
2014,12,07,6,3
2014,12,08,5,0
2014,12,09,4,-1
2014,12,10,4,0
2014,12,11,5,-5
2014,12,12,6,-4
2014,12,13,7,-2
2014,12,14,8,4
2014,12,15,8,3
2014,12,16,7,2
2014,12,17,8,3
2014,12,18,9,-1
2014,12,19,11,5
2014,12,20,9,2
2014,12,21,6,2
2014,12,22,9,4
2014,12,23,11,4
2014,12,24,10,3
2014,12,25,9,2
2014,12,26,4,-2
2014,12,27,2,-3
2014,12,28,0,-5
2014,12,29,-2,-8
2014,12,30,-5,-10
2014,12,31,-4,-9
2012,12,01,5,1
2012,12,02,2,-3
2012,12,03,1,-5
2012,12,04,3,-2
2012,12,05,1,-3
2012,12,06,3,-4
2012,12,07,-1,-6
2012,12,08,-4,-5
2012,12,09,-3,-7
2012,12,10,-2,-4
2012,12,11,-1,-8
2012,12,12,-3,-8
2012,12,13,-3,-6
2012,12,14,-3,-5
2012,12,15,1,-1
2012,12,16,4,1
2012,12,17,2,-1
